source_id,source_text,target_id,target_label,target_type,s_sem,s_gr,s_con,s_final,forced_top1,task,config
H.52PPD00.026.1,Melakukan Penginian dan Pengembangan Teknologi Informasi,http://data.europa.eu/esco/skill/da930e2f-6047-4616-a598-bba8ecef3039,manage open publications,ESCO,0.100987,0.0,1.0,0.205543,False,T4,v1.4
H.52PPD00.026.1,Melakukan Penginian dan Pengembangan Teknologi Informasi,http://data.europa.eu/esco/skill/86ff9a65-66eb-4c8f-93d8-22e0a467fc08,power electronics,ESCO,0.18712,0.0,0.5,0.177916,False,T4,v1.4
H.52PPD00.026.1,Melakukan Penginian dan Pengembangan Teknologi Informasi,http://data.europa.eu/esco/skill/311832d1-1167-47c7-b613-fc64784ffeed,describe electric drive system,ESCO,0.172806,0.0,0.0,0.095043,False,T4,v1.4
H.52PPD00.026.1,Melakukan Penginian dan Pengembangan Teknologi Informasi,http://data.europa.eu/esco/skill/d12e9d68-84c5-444e-aa98-d36533bf03f6,apply operations for an ITIL-based environment,ESCO,0.166065,0.0,0.0,0.091336,False,T4,v1.4
H.52PPD00.026.1,Melakukan Penginian dan Pengembangan Teknologi Informasi,http://data.europa.eu/esco/skill/fb82ae25-b59f-43fd-aacf-a8308afbe85e,health informatics,ESCO,0.145686,0.0,0.0,0.080127,False,T4,v1.4
H.52PPD00.026.1,Melakukan Penginian dan Pengembangan Teknologi Informasi,http://data.europa.eu/esco/skill/553ad092-b799-44c9-a94c-65a84fdc7526,identify processes for re-engineering,ESCO,0.143343,0.0,0.0,0.078839,False,T4,v1.4
H.52PPD00.026.1,Melakukan Penginian dan Pengembangan Teknologi Informasi,http://data.europa.eu/esco/skill/d503a629-9ac7-475f-8fd9-4cdcc14711cd,use ICT equipment in maintenance activities,ESCO,0.134984,0.0,0.0,0.074241,False,T4,v1.4
H.52PPD00.035.1,Menggunakan Peralatan Teknologi Informasi,http://data.europa.eu/esco/skill/da930e2f-6047-4616-a598-bba8ecef3039,manage open publications,ESCO,0.102383,0.0,1.0,0.206311,False,T4,v1.4
H.52PPD00.035.1,Menggunakan Peralatan Teknologi Informasi,http://data.europa.eu/esco/skill/86ff9a65-66eb-4c8f-93d8-22e0a467fc08,power electronics,ESCO,0.189707,0.0,0.5,0.179339,False,T4,v1.4
H.52PPD00.035.1,Menggunakan Peralatan Teknologi Informasi,http://data.europa.eu/esco/skill/311832d1-1167-47c7-b613-fc64784ffeed,describe electric drive system,ESCO,0.175195,0.0,0.0,0.096357,False,T4,v1.4
H.52PPD00.035.1,Menggunakan Peralatan Teknologi Informasi,http://data.europa.eu/esco/skill/d12e9d68-84c5-444e-aa98-d36533bf03f6,apply operations for an ITIL-based environment,ESCO,0.168361,0.0,0.0,0.092599,False,T4,v1.4
H.52PPD00.035.1,Menggunakan Peralatan Teknologi Informasi,http://data.europa.eu/esco/skill/fb82ae25-b59f-43fd-aacf-a8308afbe85e,health informatics,ESCO,0.1477,0.0,0.0,0.081235,False,T4,v1.4
H.52PPD00.035.1,Menggunakan Peralatan Teknologi Informasi,http://data.europa.eu/esco/skill/553ad092-b799-44c9-a94c-65a84fdc7526,identify processes for re-engineering,ESCO,0.145324,0.0,0.0,0.079928,False,T4,v1.4
H.52PPD00.035.1,Menggunakan Peralatan Teknologi Informasi,http://data.europa.eu/esco/skill/d503a629-9ac7-475f-8fd9-4cdcc14711cd,use ICT equipment in maintenance activities,ESCO,0.13685,0.0,0.0,0.075268,False,T4,v1.4
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,ESCO,0.109107,0.578947,1.0,0.383693,False,T4,v1.4
