source_id,source_text,target_id,target_label,target_type,s_sem,s_gr,s_con,s_final,forced_top1,task,config
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,15-1212.00,Information Security Analysts,ONET,0.036379,0.0,1.0,0.510998,False,T2a,v1.2
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,15-1221.00,Computer and Information Research Scientists,ONET,0.033829,0.0,1.0,0.509704,False,T2a,v1.2
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,15-1299.02,Geographic Information Systems Technologists and Technicians,ONET,0.033035,0.0,1.0,0.509301,False,T2a,v1.2
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-1212.00,Information Security Analysts,ONET,0.042268,0.0,1.0,0.513987,False,T2a,v1.2
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-1221.00,Computer and Information Research Scientists,ONET,0.039306,0.0,1.0,0.512484,False,T2a,v1.2
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-1299.02,Geographic Information Systems Technologists and Technicians,ONET,0.038383,0.0,1.0,0.512015,False,T2a,v1.2
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,11-3021.00,Computer and Information Systems Managers,ONET,0.028398,0.0,1.0,0.506948,False,T2a,v1.2
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-2041.00,Statisticians,ONET,0.027589,0.0,1.0,0.506538,False,T2a,v1.2
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-2021.00,Mathematicians,ONET,0.027589,0.0,1.0,0.506538,False,T2a,v1.2
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-2011.00,Actuaries,ONET,0.027589,0.0,1.0,0.506538,False,T2a,v1.2
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-2041.01,Biostatisticians,ONET,0.027589,0.0,1.0,0.506538,False,T2a,v1.2
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,43-4171.00,Receptionists and Information Clerks,ONET,0.027396,0.0,1.0,0.50644,False,T2a,v1.2
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-1299.09,Data Scientists,ONET,0.026832,0.0,1.0,0.506154,False,T2a,v1.2
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-2099.01,Bioinformatics Technicians,ONET,0.026267,0.0,1.0,0.505867,False,T2a,v1.2
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-3041.00,Editors,ONET,0.028669,0.0,1.0,0.507086,False,T2a,v1.2
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-4021.00,Photographers,ONET,0.028306,0.0,1.0,0.506902,False,T2a,v1.2
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-2011.00,Actors,ONET,0.028306,0.0,1.0,0.506902,False,T2a,v1.2
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-3042.00,Technical Writers,ONET,0.026708,0.0,1.0,0.506091,False,T2a,v1.2
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-4012.00,Broadcast Technicians,ONET,0.026703,0.0,1.0,0.506088,False,T2a,v1.2
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-1011.00,Art Directors,ONET,0.026265,0.0,1.0,0.505866,False,T2a,v1.2
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-1212.00,Information Security Analysts,ONET,0.066964,0.0,1.0,0.526519,False,T2a,v1.2
