source_id,source_text,target_id,target_label,target_type,s_sem,s_gr,s_con,s_final,forced_top1,task,config
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,15-1212.00,Information Security Analysts,ONET,0.036379,0.0,1.0,0.229103,False,T2a,v1.0
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,15-1221.00,Computer and Information Research Scientists,ONET,0.033829,0.0,1.0,0.227063,False,T2a,v1.0
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,15-1299.02,Geographic Information Systems Technologists and Technicians,ONET,0.033035,0.0,1.0,0.226428,False,T2a,v1.0
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-1212.00,Information Security Analysts,ONET,0.042268,0.0,1.0,0.233814,False,T2a,v1.0
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-1221.00,Computer and Information Research Scientists,ONET,0.039306,0.0,1.0,0.231445,False,T2a,v1.0
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-1299.02,Geographic Information Systems Technologists and Technicians,ONET,0.038383,0.0,1.0,0.230706,False,T2a,v1.0
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,11-3021.00,Computer and Information Systems Managers,ONET,0.028398,0.0,1.0,0.222718,False,T2a,v1.0
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-2041.00,Statisticians,ONET,0.027589,0.0,1.0,0.222071,False,T2a,v1.0
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-2021.00,Mathematicians,ONET,0.027589,0.0,1.0,0.222071,False,T2a,v1.0
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-2011.00,Actuaries,ONET,0.027589,0.0,1.0,0.222071,False,T2a,v1.0
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-2041.01,Biostatisticians,ONET,0.027589,0.0,1.0,0.222071,False,T2a,v1.0
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,43-4171.00,Receptionists and Information Clerks,ONET,0.027396,0.0,1.0,0.221917,False,T2a,v1.0
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-1299.09,Data Scientists,ONET,0.026832,0.0,1.0,0.221466,False,T2a,v1.0
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-2099.01,Bioinformatics Technicians,ONET,0.026267,0.0,1.0,0.221014,False,T2a,v1.0
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-3041.00,Editors,ONET,0.028669,0.0,1.0,0.222935,False,T2a,v1.0
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-4021.00,Photographers,ONET,0.028306,0.0,1.0,0.222645,False,T2a,v1.0
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-2011.00,Actors,ONET,0.028306,0.0,1.0,0.222645,False,T2a,v1.0
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-3042.00,Technical Writers,ONET,0.026708,0.0,1.0,0.221366,False,T2a,v1.0
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-4012.00,Broadcast Technicians,ONET,0.026703,0.0,1.0,0.221362,False,T2a,v1.0
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-1011.00,Art Directors,ONET,0.026265,0.0,1.0,0.221012,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-1212.00,Information Security Analysts,ONET,0.066964,0.0,1.0,0.253571,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-1221.00,Computer and Information Research Scientists,ONET,0.062271,0.0,1.0,0.249817,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-1299.02,Geographic Information Systems Technologists and Technicians,ONET,0.060808,0.0,1.0,0.248646,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,11-3131.00,Training and Development Managers,ONET,0.06043,0.0,1.0,0.248344,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-1253.00,Software Quality Assurance Analysts and Testers,ONET,0.058802,0.0,1.0,0.247042,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,13-1151.00,Training and Development Specialists,ONET,0.057608,0.0,1.0,0.246086,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-2041.00,Statisticians,ONET,0.055361,0.0,1.0,0.244289,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-2021.00,Mathematicians,ONET,0.055361,0.0,1.0,0.244289,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-2011.00,Actuaries,ONET,0.055361,0.0,1.0,0.244289,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-2041.01,Biostatisticians,ONET,0.055361,0.0,1.0,0.244289,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-1299.09,Data Scientists,ONET,0.053841,0.0,1.0,0.243073,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-2099.01,Bioinformatics Technicians,ONET,0.052707,0.0,1.0,0.242166,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-1243.00,Database Architects,ONET,0.052644,0.0,1.0,0.242115,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-1242.00,Database Administrators,ONET,0.052412,0.0,1.0,0.24193,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-1299.01,Blockchain Engineers,ONET,0.052331,0.0,1.0,0.241865,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-2031.00,Operations Research Analysts,ONET,0.052208,0.0,1.0,0.241766,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-1251.00,Computer Programmers,ONET,0.051702,0.0,1.0,0.241362,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-1211.00,Computer Systems Analysts,ONET,0.051422,0.0,1.0,0.241138,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,11-9041.01,Biofuels Technology and Product Development Managers,ONET,0.051397,0.0,1.0,0.241118,False,T2a,v1.0
SI_PLO-4,Menguasai konsep teoritis di bidang sistem informasi dan pengembangan perangkat lunak.,15-2051.02,Clinical Data Managers,ONET,0.051281,0.0,1.0,0.241025,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-1199.04,"Business Operations Specialists, All Other (Specialization)",ONET,0.054873,0.0,1.0,0.243898,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-1199.05,"Business Operations Specialists, All Other (Specialization)",ONET,0.054873,0.0,1.0,0.243898,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-1199.06,"Business Operations Specialists, All Other (Specialization)",ONET,0.054873,0.0,1.0,0.243898,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",15-2051.01,Business Intelligence Analysts,ONET,0.053106,0.0,1.0,0.242485,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-2082.00,Business and Financial Specialist (13-2082.00),ONET,0.04939,0.0,1.0,0.239512,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-2071.00,Business and Financial Specialist (13-2071.00),ONET,0.04939,0.0,1.0,0.239512,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-2081.00,Business and Financial Specialist (13-2081.00),ONET,0.04939,0.0,1.0,0.239512,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",ONET,0.043584,0.0,1.0,0.234867,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-1081.00,Logisticians,ONET,0.041783,0.0,1.0,0.233426,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-1131.00,Fundraisers,ONET,0.041312,0.0,1.0,0.23305,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-1041.06,Coroners,ONET,0.041312,0.0,1.0,0.23305,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",15-1243.00,Database Architects,ONET,0.040836,0.0,1.0,0.232669,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-1111.00,Management Analysts,ONET,0.040722,0.0,1.0,0.232578,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",15-1242.00,Database Administrators,ONET,0.040656,0.0,1.0,0.232525,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-1081.02,Logisticians (Specialization),ONET,0.039936,0.0,1.0,0.231949,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-1081.01,Logisticians (Specialization),ONET,0.039936,0.0,1.0,0.231949,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-1041.00,Compliance Officers,ONET,0.039335,0.0,1.0,0.231468,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-2061.00,Financial Examiners,ONET,0.039176,0.0,1.0,0.231341,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",25-1011.00,"Business Teachers, Postsecondary",ONET,0.038788,0.0,1.0,0.23103,False,T2a,v1.0
SI_PLO-5,"Memahami konsep manajemen organisasi dan bisnis, metode analisis, perancangan proses bisnis, dan pengelolaan basis data.",13-2041.00,Credit Analysts,ONET,0.038515,0.0,1.0,0.230812,False,T2a,v1.0
SI_PLO-6,Memahami metode evaluasi unjuk kerja organisasi/bisnis dan mampu mengambil keputusan yang tepat dalam penyelesaian masalah berbasis SI.,13-1199.05,"Business Operations Specialists, All Other (Specialization)",ONET,0.026157,0.0,1.0,0.220926,True,T2a,v1.0
