source_id,source_text,target_id,target_label,target_type,s_sem,s_gr,s_con,s_final,forced_top1,task,config
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,15-1212.00,Information Security Analysts,ONET,0.036379,0.0,1.0,0.242869,False,T2a,v1.4
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,15-1221.00,Computer and Information Research Scientists,ONET,0.033829,0.0,1.0,0.240866,False,T2a,v1.4
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,15-1299.02,Geographic Information Systems Technologists and Technicians,ONET,0.033035,0.0,1.0,0.240242,False,T2a,v1.4
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-1212.00,Information Security Analysts,ONET,0.042268,0.0,1.0,0.247496,False,T2a,v1.4
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-1221.00,Computer and Information Research Scientists,ONET,0.039306,0.0,1.0,0.245169,False,T2a,v1.4
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-1299.02,Geographic Information Systems Technologists and Technicians,ONET,0.038383,0.0,1.0,0.244444,False,T2a,v1.4
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,11-3021.00,Computer and Information Systems Managers,ONET,0.028398,0.0,1.0,0.236598,False,T2a,v1.4
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-2041.00,Statisticians,ONET,0.027589,0.0,1.0,0.235963,False,T2a,v1.4
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-2021.00,Mathematicians,ONET,0.027589,0.0,1.0,0.235963,False,T2a,v1.4
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-2011.00,Actuaries,ONET,0.027589,0.0,1.0,0.235963,False,T2a,v1.4
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-2041.01,Biostatisticians,ONET,0.027589,0.0,1.0,0.235963,False,T2a,v1.4
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,43-4171.00,Receptionists and Information Clerks,ONET,0.027396,0.0,1.0,0.235811,False,T2a,v1.4
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-1299.09,Data Scientists,ONET,0.026832,0.0,1.0,0.235368,False,T2a,v1.4
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,15-2099.01,Bioinformatics Technicians,ONET,0.026267,0.0,1.0,0.234924,False,T2a,v1.4
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-3041.00,Editors,ONET,0.028669,0.0,1.0,0.236811,False,T2a,v1.4
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-4021.00,Photographers,ONET,0.028306,0.0,1.0,0.236526,False,T2a,v1.4
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-2011.00,Actors,ONET,0.028306,0.0,1.0,0.236526,False,T2a,v1.4
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-3042.00,Technical Writers,ONET,0.026708,0.0,1.0,0.235271,False,T2a,v1.4
SI_PLO-13,Mampu menerapkan keterampilan kewirausahaan di bidang teknologi informasi dan komunikasi.,27-4012.00,Broadcast Technicians,ONET,0.026703,0.0,1.0,0.235267,False,T2a,v1.4
