source_id,source_text,target_id,target_label,target_type,s_sem,s_gr,s_con,s_final,forced_top1,task,config
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.62DPM00.003.1,Mengendalikan Pekerjaan Proyek,SKKNI,0.088527,0.0,1.0,0.270822,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.62DPM00.004.1,Memantau Pekerjaan Proyek,SKKNI,0.088262,0.0,1.0,0.27061,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.61IFO00.006.2,Melaksanakan Pekerjaan Secara Tim,SKKNI,0.086993,0.0,1.0,0.269594,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.61IFO00.001.2,Melaksanakan Pekerjaan Secara Individu,SKKNI,0.084938,0.0,1.0,0.26795,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.61TEL01.018.1,Melaksanakan Pengawasan Pekerjaan Penggelaran di Lapangan,SKKNI,0.078179,0.0,1.0,0.262543,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.60RAD00.010.1,Melaksanakan Pekerjaan Bersama Orang Lain Secara Efektif,SKKNI,0.0701,0.0,1.0,0.25608,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.59AVE00.009.1,Melakukan Check line Sesuai Bidang Pekerjaan Masing-Masing,SKKNI,0.067076,0.0,1.0,0.253661,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.62090.007.01,"Mengelola Siklus Informasi (Klasifikasi, Kategorisasi, Penanggung-Jawab)",SKKNI,0.061032,0.0,1.0,0.248826,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.62FDG00.002.1,Mencari Bukti Elektronik Fisik Mandiri (Standalone Devices),SKKNI,0.059647,0.0,1.0,0.247718,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.59MTM00.024.1,Mengelola Pekerjaan Pemrograman,SKKNI,0.059429,0.0,1.0,0.247543,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.612000.001.01,Menunjukkan Platform Operating System dan Bahasa Pemrograman di dalam Perangkat Lunak,SKKNI,0.057927,0.0,1.0,0.246342,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.59ANM02.047.1,Melakukan Pengawasan Bidang Penyutradaraan Karya Animasi (Directing),SKKNI,0.051513,0.0,1.0,0.24121,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.59ANM01.034.2,Membuat Susunan (Layout) Aset Pada Bidang 3D,SKKNI,0.051258,0.0,1.0,0.241006,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.62DPM00.025.1,Mengelola Komunikasi,SKKNI,0.050586,0.0,1.0,0.240469,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.591120.045.01,Melakukan pengawasan bidang penyutradaraan karya animasi (directing),SKKNI,0.050324,0.0,1.0,0.240259,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.591001.004.01,Melaksanakan Pekerjaan Assembly,SKKNI,0.049526,0.0,1.0,0.239621,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.62DPM00.023.1,Mengendalikan Risiko,SKKNI,0.049473,0.0,1.0,0.239578,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.62DPM00.026.1,Memantau Komunikasi,SKKNI,0.049462,0.0,1.0,0.23957,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.61TEL02.056.1,Melakukan Pengecekan Prosedur Pelaksanaan Pekerjaan,SKKNI,0.048371,0.0,1.0,0.238697,False,T3a,v1.1
SI_PLO-1,Bertanggung jawab atas pekerjaan di bidang Sistem Informasi secara mandiri dan amanah.,J.61TEL02.053.1,Melakukan Pengecekan Proses Pekerjaan Instalasi,SKKNI,0.048344,0.0,1.0,0.238675,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.59AVE00.002.1,Menerapkan Etika Profesi,SKKNI,0.125516,0.0,1.0,0.300413,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.591101.001.01,Mematuhi  Etika dan Regulasi Penyiaran Televisi,SKKNI,0.124468,0.0,1.0,0.299574,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.62090.007.01,"Mengelola Siklus Informasi (Klasifikasi, Kategorisasi, Penanggung-Jawab)",SKKNI,0.05918,0.0,1.0,0.247344,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.591100.003.01,"Mematuhi Hukum, Peraturan-Peraturan yang Berlaku, dan Etika Penyiaran",SKKNI,0.05543,0.0,1.0,0.244344,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.59ANM02.047.1,Melakukan Pengawasan Bidang Penyutradaraan Karya Animasi (Directing),SKKNI,0.049949,0.0,1.0,0.239959,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.59ANM01.034.2,Membuat Susunan (Layout) Aset Pada Bidang 3D,SKKNI,0.049701,0.0,1.0,0.239761,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.591120.045.01,Melakukan pengawasan bidang penyutradaraan karya animasi (directing),SKKNI,0.048796,0.0,1.0,0.239037,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,MSK.PM03.005.01,Mengoperasikan komputer dengan berbagai program perangkat lunak musik.,SKKNI,0.048763,0.0,1.0,0.23901,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.612000.100.01,Memelihara Antenna dan Feeder di BTS,SKKNI,0.045899,0.0,1.0,0.236719,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,MSK.PA03.010.01,Menyusun teknik aransemen dasar musik pop dengan perangkat lunak komputer.,SKKNI,0.042637,0.0,1.0,0.23411,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.612000.122.01,Memelihara Lingkungan Di dalam Kabinet Peralatan,SKKNI,0.04197,0.0,1.0,0.233576,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,MSK.PA03.006.01,Mengoperasikan komputer dengan berbagai program perangkat lunak metode pengajaran instrumen musik.,SKKNI,0.041656,0.0,1.0,0.233325,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.612000.141.01,Memperbaiki Lingkungan Di dalam Kabinet Peralatan,SKKNI,0.041655,0.0,1.0,0.233324,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.61TEL02.006.1,Melakukan Dimensioning di Jaringan Transport Microwave,SKKNI,0.038882,0.0,1.0,0.231106,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.612000.098.01,Melakukan Pencatatan Pemeliharaan di Lokasi (Site),SKKNI,0.038596,0.0,1.0,0.230877,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.59AVE00.009.1,Melakukan Check line Sesuai Bidang Pekerjaan Masing-Masing,SKKNI,0.037218,0.0,1.0,0.229774,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.612000.099.01,Memelihara Pemancar (Transceiver) di Base Station,SKKNI,0.036605,0.0,1.0,0.229284,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.61TEL02.007.1,Melakukan Perencanaan Kapasitas di Jaringan Transport Microwave,SKKNI,0.03572,0.0,1.0,0.228576,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.61SEL02.041.1,"Menerima, Menyiapkan dan Mengeluarkan Material di Gudang",SKKNI,0.034757,0.0,1.0,0.227806,False,T3a,v1.1
SI_PLO-10,Memiliki etika dan tanggung jawab profesi di bidang IS/IT.,J.61TEL01.018.1,Melaksanakan Pengawasan Pekerjaan Penggelaran di Lapangan,SKKNI,0.033954,0.0,1.0,0.227163,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.61KRP00.015.1,Menyusun Rekomendasi Berdasarkan Hasil Pengujian,SKKNI,0.063175,0.0,1.0,0.25054,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.59MTM00.023.1,Membuat Pemrograman Interaktif Berdasarkan Langkah Kerja,SKKNI,0.059351,0.0,1.0,0.247481,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.59MTM00.011.1,Membuat Aset Visual Berdasarkan Langkah Kerja yang Telah Ditetapkan,SKKNI,0.050724,0.0,1.0,0.240579,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.59MTM00.015.1,Membuat Aset Audio Berdasarkan Langkah Kerja Yang Telah Ditetapkan,SKKNI,0.050261,0.0,1.0,0.240209,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.59MTM00.020.1,Menentukan Arah Kebutuhan Teknis Berdasarkan Langkah Kerja yang Ditetapkan,SKKNI,0.048802,0.0,1.0,0.239042,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.61IFO00.006.2,Melaksanakan Pekerjaan Secara Tim,SKKNI,0.047102,0.0,1.0,0.237682,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.6202000.013.01,Menentukan Sistem ERP Berdasarkan Kebutuhan Transaksi Operasional,SKKNI,0.046745,0.0,1.0,0.237396,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.62090.032.01,Menerapkan Kontrol Akses Berdasarkan Konsep/Metodologi yang Telah Ditetapkan,SKKNI,0.0462,0.0,1.0,0.23696,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.61IFO00.001.2,Melaksanakan Pekerjaan Secara Individu,SKKNI,0.045989,0.0,1.0,0.236791,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.59MTM00.021.1,Membangun Sistem Aksebilitas Pengguna Berdasarkan Langkah Kerja yang telah Ditetapkan,SKKNI,0.045451,0.0,1.0,0.236361,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.612001.010.01,Melakukan Monitoring secara Statistical Measurement,SKKNI,0.045406,0.0,1.0,0.236325,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.90PNB02.001.1,Menyunting Naskah Buku Secara Mekanis,SKKNI,0.044552,0.0,1.0,0.235642,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.90PNB02.004.1,Menyunting Naskah Buku Secara Substantif,SKKNI,0.044552,0.0,1.0,0.235642,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.62DPM00.025.1,Mengelola Komunikasi,SKKNI,0.043594,0.0,1.0,0.234875,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.62DPM00.023.1,Mengendalikan Risiko,SKKNI,0.042635,0.0,1.0,0.234108,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.62DPM00.026.1,Memantau Komunikasi,SKKNI,0.042626,0.0,1.0,0.234101,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.62UKS00.008.1,Melakukan Kegiatan Setelah Eksploitasi Berdasarkan Ruang Lingkup Pengujian Keamanan Siber,SKKNI,0.042194,0.0,1.0,0.233755,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.62DPM00.019.1,Mengelola Kualitas Proyek,SKKNI,0.041645,0.0,1.0,0.233316,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.60RAD00.008.1,Mengeksplorasi Topik Secara On-Air,SKKNI,0.041256,0.0,1.0,0.233005,False,T3a,v1.1
SI_PLO-11,Mampu mengambil keputusan secara profesional berdasarkan keilmuan sistem informasi.,J.62DPM00.018.2,Merencanakan Kualitas Proyek,SKKNI,0.041128,0.0,1.0,0.232902,False,T3a,v1.1
SI_PLO-12,Mampu mengikuti perkembangan teknologi IS/IT terkini.,J.60RAD00.011.1,Mengikuti Prosedur K3 (Kesehatan dan Keselamatan Kerja),SKKNI,0.078882,0.0,1.0,0.263106,False,T3a,v1.1
SI_PLO-12,Mampu mengikuti perkembangan teknologi IS/IT terkini.,J.60RAD00.002.1,Menulis Narasi dan Materi Informasi Terkini untuk Siaran,SKKNI,0.075773,0.0,1.0,0.260618,False,T3a,v1.1
